vin,amp,dt
0.741,0.6056594,0.07748469676873604
0.742,0.6055843,0.07748469676873604
0.743,0.6055092,0.07748469676873604
0.744,0.6054341,0.07748469676873604
0.745,0.6053591,0.07748469676873604
0.746,0.6052842,0.07748469676873604
0.747,0.6052092,0.07846125926873604
0.748,0.6051344,0.08334407176873604
0.749,0.6050596,0.08432063426873604
0.75,0.6049848,0.08432063426873604
0.751,0.60491,0.08432063426873604
0.752,0.6048353,0.08822688426873604
0.753,0.6047606,0.08822688426873604
0.754,0.6046861,0.08920344676873604
0.755,0.6046115,0.10092219676873604
0.756,0.604537,0.10189875926873604
0.757,0.6044625,0.10189875926873604
0.758,0.6043881,0.10287532176873604
0.759,0.6043137,0.10385188426873604
0.76,0.6042393,0.07748469676873604
0.761,0.604165,0.08041438426873604
0.762,0.6040908,0.08041438426873604
0.763,0.6040165,0.08334407176873604
0.764,0.6039423,0.08334407176873604
0.765,0.6038681,0.08432063426873604
0.766,0.603794,0.08822688426873604
0.767,0.6037199,0.08822688426873604
0.768,0.6036459,0.08920344676873604
0.769,0.603572,0.08920344676873604
0.77,0.603498,0.09018000926873604
0.771,0.6034241,0.10385188426873604
0.772,0.6033503,0.10482844676873604
0.773,0.6032765,0.10580500926873604
0.774,0.6032027,0.10678157176873604
0.775,0.603129,0.10775813426873604
0.776,0.6030553,0.10873469676873604
0.777,0.6029816,0.10971125926873604
0.778,0.602908,0.06967219676873604
0.779,0.6028345,0.06967219676873604
0.78,0.6027609,0.06967219676873604
0.781,0.6026874,0.07260188426873604
0.782,0.602614,0.07260188426873604
0.783,0.6025406,0.08920344676873604
0.784,0.6024672,0.09018000926873604
0.785,0.6023939,0.09018000926873604
0.786,0.6023206,0.09018000926873604
0.787,0.6022473,0.09115657176873604
0.788,0.6021741,0.10971125926873604
0.789,0.6021009,0.06869563426873604
0.79,0.6020278,0.06869563426873604
0.791,0.6019547,0.06869563426873604
0.792,0.6018817,0.06869563426873604
0.793,0.6018087,0.06869563426873604
0.794,0.6017357,0.06869563426873604
0.795,0.6016628,0.06967219676873604
0.796,0.6015899,0.07162532176873604
0.797,0.601517,0.07162532176873604
0.798,0.6014442,0.07162532176873604
0.799,0.6013714,0.07162532176873604
0.8,0.6012986,0.07162532176873604
0.801,0.601226,0.07162532176873604
0.802,0.6011533,0.07260188426873604
0.803,0.6010807,0.07455500926873604
0.804,0.6010081,0.07553157176873604
0.805,0.6009355,0.07846125926873604
0.806,0.600863,0.07846125926873604
0.807,0.6007906,0.07846125926873604
0.808,0.6007181,0.06771907176873604
0.809,0.6006457,0.06869563426873604
0.81,0.6005734,0.06869563426873604
0.811,0.6005011,0.06869563426873604
0.812,0.6004288,0.07064875926873604
0.8130000000000001,0.6003565,0.07064875926873604
0.8140000000000001,0.6002843,0.07064875926873604
0.8150000000000001,0.6002122,0.07064875926873604
0.8160000000000001,0.60014,0.07162532176873604
0.8170000000000001,0.600068,0.07162532176873604
0.8180000000000001,0.5999959,0.07162532176873604
0.8190000000000001,0.5999239,0.07162532176873604
0.8200000000000001,0.5998519,0.07162532176873604
0.8210000000000001,0.59978,0.07162532176873604
0.8220000000000001,0.5997081,0.07162532176873604
0.8230000000000001,0.5996362,0.07162532176873604
0.8240000000000001,0.5995644,0.07846125926873604
0.8250000000000001,0.5994925,0.07846125926873604
0.8260000000000001,0.5994208,0.07943782176873604
0.8270000000000001,0.5993491,0.07943782176873604
0.8280000000000001,0.5992774,0.07943782176873604
0.8290000000000001,0.5992057,0.07943782176873604
0.8300000000000001,0.5991341,0.09115657176873604
0.8310000000000001,0.5990626,0.09213313426873604
0.8320000000000001,0.598991,0.09310969676873604
0.833,0.5989195,0.09310969676873604
0.834,0.598848,0.07064875926873604
0.835,0.5987766,0.07064875926873604
0.836,0.5987052,0.07064875926873604
0.837,0.5986338,0.07064875926873604
0.838,0.5985625,0.07162532176873604
0.839,0.5984913,0.07162532176873604
0.84,0.59842,0.07162532176873604
0.841,0.5983488,0.07162532176873604
0.842,0.5982776,0.07162532176873604
0.843,0.5982065,0.07162532176873604
0.844,0.5981354,0.07162532176873604
0.845,0.5980643,0.07162532176873604
0.846,0.5979933,0.07943782176873604
0.847,0.5979223,0.07943782176873604
0.848,0.5978513,0.09408625926873604
0.849,0.5977803,0.09408625926873604
0.85,0.5977095,0.09506282176873604
0.851,0.5976386,0.09603938426873604
0.852,0.5975677,0.09701594676873604
0.853,0.597497,0.09799250926873604
0.854,0.5974262,0.09896907176873604
0.855,0.5973555,0.09994563426873604
0.856,0.5972848,0.10092219676873604
0.857,0.5972142,0.06381282176873604
0.858,0.5971435,0.06381282176873604
0.859,0.597073,0.06381282176873604
0.86,0.5970024,0.06381282176873604
0.861,0.5969319,0.07162532176873604
